Fecha Solicitud,Fecha Entrega,Año,Semana,Status,Proveedor,Tipo Producto,Desc Producto,Presentacion,Cant. Comprada,Cant. Prom,Cantidad Total,Costo Total,Vr Unitario,Precio de Venta,Margen %
2023-02-17,2023-02-20,2023,8,Entregado y Pagado,Nutresa,Galletas,Galletas Festival Vainilla x6,,24.0,,24,19182.0,799.25,1200.0,0.5014075695964968
2023-02-17,2023-02-20,2023,8,Entregado y Pagado,Nutresa,Galletas,Galleta Noel Wafer,,36.0,,36,16542.0,459.5,600.0,0.30576713819368884
2023-02-18,2023-02-21,2023,8,Entregado y Pagado,Coca Cola,Gaseosa,Coca Cola Pet,400 ml,36.0,3.0,39,60388.0,1548.4102564102564,2500.0,0.61455918394383
2023-02-18,2023-02-21,2023,8,Entregado y Pagado,Coca Cola,Gaseosa,Coca Cola,3 L,2.0,,2,11601.0,5800.5,7800.0,0.3447116627876907
2023-02-18,2023-02-21,2023,8,Entregado y Pagado,Bavaria BEES,Bebidas,VIVE 100 ZERO 380ML ,380 ml,12.0,,12,25100.0,2091.6666666666665,2800.0,0.33864541832669337
2023-02-18,2023-02-21,2023,8,Entregado y Pagado,Bavaria BEES,Cerveza,Budweiser Lta CO 269,269 ml,24.0,,24,49600.0,2066.6666666666665,2700.0,0.306451612903226
2023-02-18,2023-02-21,2023,8,Entregado y Pagado,Bavaria BEES,Cerveza,Aguila Lig Lta 330cc,330 ml,18.0,,18,45150.0,2508.3333333333335,3300.0,0.3156146179401993
2023-02-18,2023-02-21,2023,8,Entregado y Pagado,Bavaria BEES,Cerveza,Poker RN Bot,330 ml,30.0,,30,49900.0,1663.3333333333333,2200.0,0.3226452905811623
2023-02-20,2023-02-21,2023,8,Entregado y Pagado,Colombina,Helados,Cono Mega Tosty Vainilla,,20.0,,20,43126.0,2156.3,2800.0,0.2985206140147474
2023-02-20,2023-02-21,2023,8,Entregado y Pagado,Colombina,Helados,Cono Mega Choco Mani,,20.0,,20,43126.0,2156.3,2800.0,0.2985206140147474
2023-02-20,2023-02-21,2023,8,Entregado y Pagado,Colombina,Helados,Paleta Fruly Fresa,,24.0,,24,23048.0,960.3333333333334,1200.0,0.24956612287400204
2023-02-20,2023-02-21,2023,8,Entregado y Pagado,Colombina,Helados,Paleta Snake,,24.0,,24,31416.0,1309.0,1700.0,0.2987012987012987
2023-02-20,2023-02-21,2023,8,Entregado y Pagado,Colombina,Helados,Paleta Tentazione Crema de Whisky,,12.0,,12,36957.0,3079.75,4000.0,0.2988067213247829
2023-02-21,2023-02-22,2023,8,Entregado y Pagado,Productos Ramo,Pasteles,Chocoramo Mini,20 g,10.0,,10,7794.5,779.45,1000.0,0.28295593046378853
2023-02-21,2023-02-22,2023,8,Entregado y Pagado,Productos Ramo,Pasteles,Gala Chocolate,60 g,4.0,,4,5264.5599999999995,1316.1399999999999,1700.0,0.29165590286747634
2023-02-21,2023-02-22,2023,8,Entregado y Pagado,Productos Ramo,Pasteles,Gala Coco,60 g,5.0,,5,6580.7,1316.1399999999999,1700.0,0.29165590286747634
2023-02-21,2023-02-22,2023,8,Entregado y Pagado,Productos Ramo,Pasteles,Chocoramo Brownie Mini,65 g,12.0,,12,8087.24,673.9366666666666,1000.0,0.48381895430332245
2023-02-21,2023-02-22,2023,8,Entregado y Pagado,Productos Ramo,,Nota Credito,,,,0,-4665.0,,,0.0
2023-02-21,2023-02-22,2023,8,Entregado y Pagado,Postobon,Agua,Agua Cristal,600 ml,24.0,,24,22150.0,922.9166666666666,1300.0,0.4085778781038376
2023-02-21,2023-02-22,2023,8,Entregado y Pagado,Postobon,Agua,Agua Cristal Con Gas,600 ml,12.0,,12,15050.0,1254.1666666666667,1600.0,0.27574750830564776
2023-02-21,2023-02-22,2023,8,Entregado y Pagado,Postobon,Bebidas,Gatorade,500 ml,12.0,,12,35000.0,2916.6666666666665,3600.0,0.23428571428571443
2023-02-21,2023-02-22,2023,8,Entregado y Pagado,Postobon,Jugos,Jugo Hit Mango,500 ml,12.0,,12,25000.0,2083.3333333333335,2700.0,0.2959999999999998
2023-02-21,2023-02-22,2023,8,Entregado y Pagado,Pepsico/FritoLay,Snack,Margarita Pollo,35 g,6.0,,6,10345.859999999999,1724.3099999999997,2200.0,0.275872667907743
2023-02-21,2023-02-22,2023,8,Entregado y Pagado,Pepsico/FritoLay,Snack,Cheesse Tris Queso,42 g,6.0,,6,7761.179999999999,1293.53,1800.0,0.3915409770163816
2023-02-21,2023-02-22,2023,8,Entregado y Pagado,Pepsico/FritoLay,Snack,Natuchips Verde,38 g,12.0,,12,18621.12,1551.76,2200.0,0.4177450121152755
